Date,Fixed Wing Multi-Engine,Fixed Wing Single-Engine,Rotorcraft
25/05/2022,26,64,90
26/05/2022,21,64,90
27/05/2022,16.5,64,90
28/05/2022,13.8,64,90
29/05/2022,4.2,,
30/05/2022,4.2,,
31/05/2022,3.2,,
1/06/2022,4,,
2/06/2022,6.4,4,17
3/06/2022,23,18.5,73.5
4/06/2022,38,20.3,77.7
5/06/2022,46,21,77.5
6/06/2022,68,24.2,84.8
7/06/2022,85.8,31.2,102.6
8/06/2022,83.4,35.8,99.2
9/06/2022,100,38.8,101.2
10/06/2022,130.6,43,114.6
11/06/2022,138.6,38.2,115.6
12/06/2022,148.4,33,118.6
13/06/2022,180.8,28,126.8
14/06/2022,183.2,28.8,135.8
15/06/2022,173.8,29.2,130.4
16/06/2022,171.4,37.8,131
17/06/2022,160.2,43.4,125.6
18/06/2022,131,42.2,112.8
19/06/2022,117.2,36.2,95.6
20/06/2022,112.8,34.8,99.6
21/06/2022,112.6,31.4,104.4
22/06/2022,121.8,32,118
23/06/2022,141.6,38.4,138.4
24/06/2022,148.4,45,159.8
25/06/2022,150.4,45.2,152.8
26/06/2022,144.2,41.4,138.8
27/06/2022,134.4,38.2,126.8
28/06/2022,138.4,34.4,118.6
29/06/2022,137.4,31.8,114.2
30/06/2022,129,32.2,126.8
1/07/2022,121.8,34,129.2
2/07/2022,118.8,31.6,122
3/07/2022,86.4,25.8,104
